,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,github_release_downloads,monthly_downloads,trending,updated_github_id
10,concordia,google-deepmind/concordia,https://github.com/google-deepmind/concordia,https://github.com/google-deepmind/concordia,Apache-2.0,2023-11-21 13:34:11,2025-03-06 15:04:25,2025-03-06 14:08:42,819,51.0,150.0,23.0,88.0,6.0,37.0,795,2024-12-19 13:01:57,1.8.10,21.0,A library for generative social simulation.,14.0,14.0,24.0,23,True,others,1.0,,,1.0,
11,agentscope,modelscope/agentscope,https://github.com/modelscope/agentscope,https://github.com/modelscope/agentscope,Apache-2.0,2024-01-12 03:41:59,2025-03-06 05:28:43,2025-03-06 04:20:11,300,25.0,374.0,36.0,376.0,33.0,131.0,6453,2025-03-06 05:28:43,0.1.2,7.0,Start building LLM-empowered multi-agent applications in an easier way.,16.0,16.0,36.0,22,True,others,1.0,38.0,2.0,,
12,scikit-opt,guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,MIT,2017-12-05 10:20:41,2024-06-23 12:28:48,2024-06-23 12:28:48,343,,988.0,50.0,34.0,68.0,113.0,5435,2021-06-28 12:45:52,0.6.5,20.0,"Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune..",256.0,256.0,24.0,22,True,others,1.0,,,,
13,mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,Apache-2.0,2020-02-11 08:43:48,2024-07-29 01:48:05,2024-07-28 23:35:15,83896,,700.0,149.0,42.0,171.0,112.0,4428,,,,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and..",,,1629.0,22,True,others,1.0,,,,
14,hivemind,learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,MIT,2020-02-27 13:50:19,2025-02-23 23:49:00,2024-11-05 08:39:28,583,,166.0,56.0,476.0,63.0,104.0,2133,2023-08-31 20:07:52,1.1.10,25.0,Decentralized deep learning in PyTorch. Built to train models on thousands of volunteers across the world.,120.0,120.0,33.0,22,True,others,1.0,,,,
15,pyswarms,ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,MIT,2017-07-12 12:04:45,2024-08-06 17:18:34,2023-06-06 09:46:40,415,,333.0,40.0,302.0,32.0,200.0,1309,2020-11-14 05:18:38,.1.2.0,15.0,A research toolkit for particle swarm optimization in Python.,503.0,503.0,45.0,22,False,others,1.0,,,,
16,gplearn,trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,BSD-3-Clause,2015-03-26 01:01:14,2023-11-29 15:04:03,2023-08-12 06:34:27,161,,287.0,52.0,89.0,23.0,191.0,1660,2022-05-03 10:56:08,0.4.2,1.0,"Genetic Programming in Python, with a scikit-learn inspired API.",691.0,691.0,10.0,21,False,others,1.0,,,,
17,nengo,nengo/nengo,https://github.com/nengo/nengo,https://github.com/nengo/nengo,,2013-04-20 18:46:06,2024-02-28 20:13:02,2023-11-17 15:42:30,1756,,180.0,76.0,925.0,123.0,649.0,851,2023-11-17 15:28:21,4.0.0,21.0,A Python library for creating and simulating large-scale brain models.,244.0,244.0,42.0,21,False,others,1.0,,,,
18,FEDOT,aimclub/FEDOT,https://github.com/aimclub/FEDOT,https://github.com/aimclub/FEDOT,BSD-3-Clause,2020-01-13 12:48:37,2025-03-06 14:55:10,2025-03-06 14:37:03,919,16.0,86.0,11.0,787.0,59.0,498.0,661,2024-08-28 11:07:57,0.7.4,18.0,Automated modeling and machine learning framework FEDOT.,58.0,58.0,38.0,21,True,others,1.0,,,,
19,evox,EMI-Group/evox,https://github.com/EMI-Group/evox,https://github.com/EMI-Group/evox,GPL-3.0,2022-07-27 03:11:41,2025-03-06 09:46:01,2025-03-05 14:59:27,1946,693.0,44.0,6.0,187.0,1.0,30.0,292,2025-03-01 11:29:05,1.1.0,21.0,Distributed GPU-Accelerated Framework for Evolutionary Computation. Comprehensive Library of Evolutionary Algorithms &..,4.0,4.0,28.0,21,True,others,1.0,,,,
20,NiaPy,NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,MIT,2018-02-06 11:25:36,2025-03-06 03:05:10,2025-01-06 13:14:30,1536,6.0,81.0,10.0,541.0,4.0,99.0,266,2025-01-06 13:17:14,2.5.2,34.0,Python microframework for building nature-inspired algorithms. Official docs: https://niapy.org.,100.0,100.0,35.0,21,True,others,1.0,,,,
21,Gradient-Free-Optimizers,SimonBlanke/Gradient-Free-Optimizers,https://github.com/SimonBlanke/Gradient-Free-Optimizers,https://github.com/SimonBlanke/Gradient-Free-Optimizers,MIT,2020-04-04 06:35:55,2025-03-03 20:06:03,2025-01-23 18:37:42,942,12.0,84.0,22.0,8.0,13.0,40.0,1217,2024-12-07 12:30:38,1.7.1,7.0,"Simple and reliable optimization with local, global, population-based and sequential techniques in numerical discrete..",37.0,37.0,7.0,20,True,others,1.0,56.0,1.0,,
22,pycma,CMA-ES/pycma,https://github.com/CMA-ES/pycma,https://github.com/CMA-ES/pycma,,2016-09-22 13:55:01,2025-02-13 15:39:17,2025-02-13 15:35:38,909,7.0,179.0,16.0,27.0,68.0,196.0,1153,2024-09-03 07:48:43,r4.0.0,14.0,Python implementation of CMA-ES.,2354.0,2354.0,15.0,20,False,others,1.0,,,,
23,ann-benchmarks,erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43,2025-03-03 12:22:29,2025-03-03 12:22:29,1576,8.0,743.0,118.0,348.0,73.0,154.0,5144,,,,Benchmarks of approximate nearest neighbor libraries in Python.,,,111.0,19,True,others,2.0,,,,
24,HEBO,huawei-noah/HEBO,https://github.com/huawei-noah/HEBO,https://github.com/huawei-noah/HEBO,,2021-09-10 06:02:05,2025-02-24 13:36:54,2025-02-07 18:31:30,239,9.0,445.0,232.0,48.0,16.0,40.0,2575,,,1.0,Bayesian optimisation & Reinforcement Learning library developed by Huawei Noahs Ark Lab.,137.0,137.0,25.0,19,False,others,2.0,,,,
25,lion-pytorch,lucidrains/lion-pytorch,https://github.com/lucidrains/lion-pytorch,https://github.com/lucidrains/lion-pytorch,MIT,2023-02-15 04:24:19,2024-11-27 15:28:24,2024-11-27 15:28:16,49,,52.0,14.0,9.0,8.0,16.0,2101,2024-11-27 15:28:24,0.2.3,15.0,"Lion, new optimizer discovered by Google Brain using genetic algorithms that is purportedly better than Adam(w), in..",914.0,914.0,6.0,19,True,others,2.0,,,1.0,
26,theseus,facebookresearch/theseus,https://github.com/facebookresearch/theseus,https://github.com/facebookresearch/theseus,MIT,2021-11-18 20:28:27,2025-01-16 17:47:06,2025-01-16 17:47:03,357,3.0,131.0,32.0,426.0,74.0,121.0,1846,2024-09-11 17:13:49,0.2.2,10.0,A library for differentiable nonlinear optimization.,6.0,6.0,27.0,19,True,others,2.0,,,,
27,pagmo2,esa/pagmo2,https://github.com/esa/pagmo2,https://github.com/esa/pagmo2,GPL-3.0,2017-01-08 21:53:43,2025-01-13 17:44:17,2025-01-13 17:40:15,4635,3.0,161.0,37.0,322.0,45.0,198.0,857,2024-08-09 18:47:03,2.19.1,26.0,A C++ platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous..,,,60.0,19,True,others,2.0,,,,
28,Platypus,Project-Platypus/Platypus,https://github.com/Project-Platypus/Platypus,https://github.com/Project-Platypus/Platypus,GPL-3.0,2015-10-09 19:19:17,2024-10-07 02:45:44,2024-10-07 02:45:44,403,,149.0,19.0,73.0,,177.0,597,2024-10-07 02:27:36,1.4.1,10.0,A Free and Open Source Python Library for Multiobjective Optimization.,227.0,227.0,19.0,19,True,others,2.0,22.0,0.0,,
29,jMetalPy,jMetal/jMetalPy,https://github.com/jMetal/jMetalPy,https://github.com/jMetal/jMetalPy,MIT,2017-01-18 10:25:58,2024-12-22 19:04:42,2024-12-22 19:04:42,1187,4.0,147.0,22.0,71.0,9.0,104.0,544,2024-05-29 15:49:17,1.7.0,8.0,A framework for single/multi-objective optimization with metaheuristics.,99.0,99.0,34.0,19,True,others,2.0,103.0,1.0,,
30,mindcraft,kolbytn/mindcraft,https://github.com/kolbytn/mindcraft,https://github.com/kolbytn/mindcraft,MIT,2023-08-16 06:39:59,2025-03-05 21:46:49,2025-03-04 21:56:39,772,147.0,392.0,40.0,199.0,152.0,110.0,2995,,,,,,,35.0,18,False,others,2.0,,,,
31,geatpy,geatpy-dev/geatpy,https://github.com/geatpy-dev/geatpy,https://github.com/geatpy-dev/geatpy,LGPL-3.0,2018-08-23 13:26:31,2025-01-17 08:53:46,2025-01-17 08:53:45,404,1.0,725.0,46.0,8.0,160.0,218.0,2058,2022-01-09 08:11:32,2.7.0,2.0,Evolutionary algorithm toolbox and framework with high performance for Python.,,,8.0,18,True,others,2.0,4815.0,126.0,,
32,evo,evo-design/evo,https://github.com/evo-design/evo,https://github.com/evo-design/evo,Apache-2.0,2024-02-17 19:11:33,2025-02-26 01:43:15,2025-02-26 01:43:15,48,6.0,163.0,26.0,32.0,33.0,34.0,1330,2024-12-18 16:25:45,0.4,6.0,Biological foundation modeling from molecular to genome scale.,4.0,4.0,9.0,18,True,others,2.0,,,,
33,mealpy,thieu1995/mealpy,https://github.com/thieu1995/mealpy,https://github.com/thieu1995/mealpy,GPL-3.0,2020-03-16 10:16:54,2024-09-03 21:46:52,2024-06-12 15:50:21,1759,,195.0,15.0,26.0,15.0,138.0,969,2023-11-05 09:30:19,3.0.1,56.0,A Collection Of The State-of-the-art Metaheuristic Algorithms In Python (Metaheuristic/Optimizer/Nature-..,138.0,138.0,14.0,18,True,others,2.0,,,,
34,eaopt,MaxHalford/eaopt,https://github.com/MaxHalford/eaopt,https://github.com/MaxHalford/eaopt,MIT,2016-01-31 00:04:52,2025-01-27 08:06:47,2025-01-27 08:06:47,351,3.0,95.0,32.0,36.0,8.0,14.0,892,2017-11-28 19:51:38,0.4.1,9.0,"Evolutionary optimization library for Go (genetic algorithm, partical swarm optimization, differential evolution).",50.0,50.0,18.0,18,True,others,2.0,,,,
35,sklearn-deap,rsteca/sklearn-deap,https://github.com/rsteca/sklearn-deap,https://github.com/rsteca/sklearn-deap,MIT,2015-10-28 22:52:34,2024-02-10 07:16:54,2021-07-30 15:06:27,104,,124.0,29.0,29.0,20.0,34.0,773,2021-07-30 15:07:28,0.3.0,14.0,Use evolutionary algorithms instead of gridsearch in scikit-learn.,49.0,49.0,23.0,18,False,others,2.0,,,,
36,minerl,minerllabs/minerl,https://github.com/minerllabs/minerl,https://github.com/minerllabs/minerl,,2019-04-23 16:55:21,2025-01-22 20:22:41,2025-01-22 20:22:40,797,1.0,151.0,18.0,307.0,221.0,267.0,753,2023-08-23 21:30:19,1.0.2,7.0,MineRL Competition for Sample Efficient Reinforcement Learning - Python Package.,139.0,139.0,48.0,18,False,others,2.0,,,,
37,QDax,adaptive-intelligent-robotics/QDax,https://github.com/adaptive-intelligent-robotics/QDax,https://github.com/adaptive-intelligent-robotics/QDax,MIT,2022-02-11 15:48:57,2025-03-05 19:48:18,2025-02-25 19:28:43,167,5.0,46.0,5.0,137.0,32.0,53.0,276,2025-03-04 11:46:46,0.4.1,8.0,Accelerated Quality-Diversity.,17.0,17.0,14.0,18,True,others,2.0,,,1.0,
38,pyribs,icaros-usc/pyribs,https://github.com/icaros-usc/pyribs,https://github.com/icaros-usc/pyribs,MIT,2020-09-10 07:47:17,2025-01-06 21:42:21,2025-01-06 21:42:17,468,7.0,38.0,15.0,388.0,17.0,90.0,217,2024-03-14 09:44:26,0.7.1,14.0,A bare-bones Python library for quality diversity optimization.,63.0,63.0,16.0,18,True,others,2.0,,,,
39,sotopia,sotopia-lab/sotopia,https://github.com/sotopia-lab/sotopia,https://github.com/sotopia-lab/sotopia,MIT,2023-10-23 19:47:26,2025-03-02 06:36:21,2025-02-25 16:52:37,322,41.0,26.0,3.0,206.0,10.0,67.0,197,2025-02-01 22:01:46,0.1.4,16.0,Sotopia: an Open-ended Social Learning Environment (ICLR 2024 spotlight).,8.0,8.0,19.0,18,True,others,2.0,,,,
40,triangula,rh12503/triangula,https://github.com/rh12503/triangula,https://github.com/rh12503/triangula,MIT,2021-04-02 12:38:24,2021-09-02 02:11:07,2021-09-02 02:11:07,100,,122.0,41.0,3.0,8.0,13.0,3855,2021-05-21 12:57:14,1.2.0,5.0,Generate high-quality triangulated and polygonal art from images.,11.0,11.0,3.0,17,False,others,2.0,6532.0,138.0,,
41,dreamerv3,danijar/dreamerv3,https://github.com/danijar/dreamerv3,https://github.com/danijar/dreamerv3,MIT,2023-01-14 12:08:18,2025-02-22 20:14:21,2025-02-22 20:14:18,28,6.0,254.0,27.0,27.0,26.0,125.0,1532,,,,Mastering Diverse Domains through World Models.,10.0,10.0,10.0,17,True,others,2.0,,,1.0,
42,evosax,RobertTLange/evosax,https://github.com/RobertTLange/evosax,https://github.com/RobertTLange/evosax,Apache-2.0,2020-12-30 14:14:37,2025-03-06 13:07:31,2025-01-08 13:12:00,292,5.0,47.0,9.0,40.0,16.0,27.0,565,2024-03-06 17:13:36,.0.1.6,16.0,Evolution Strategies in JAX.,132.0,132.0,9.0,17,True,others,2.0,,,,
43,Sklearn-genetic-opt,rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,MIT,2020-01-18 19:16:48,2025-01-25 17:16:32,2025-01-25 17:16:32,511,2.0,79.0,8.0,96.0,3.0,62.0,329,2024-09-17 16:58:38,0.11.1,18.0,"ML hyperparameters tuning and features selection, using evolutionary algorithms.",58.0,58.0,16.0,17,True,others,2.0,,,,
44,Lenia,Chakazul/Lenia,https://github.com/Chakazul/Lenia,https://github.com/Chakazul/Lenia,MIT,2018-02-25 05:51:46,2024-07-19 08:43:34,2022-03-15 17:08:40,174,,225.0,91.0,12.0,4.0,11.0,3584,2020-10-14 17:52:12,3.5,2.0,Lenia - Mathematical Life Forms.,,,9.0,16,False,others,2.0,1711.0,32.0,,
45,PlatEMO,BIMK/PlatEMO,https://github.com/BIMK/PlatEMO,https://github.com/BIMK/PlatEMO,,2018-10-12 14:25:39,2025-02-07 12:21:58,2025-02-07 12:21:44,364,8.0,476.0,51.0,58.0,74.0,38.0,1753,2025-02-06 08:41:09,4.11,30.0,Evolutionary multi-objective optimization platform.,,,12.0,16,False,others,2.0,1145.0,14.0,,
46,opytimizer,gugarosa/opytimizer,https://github.com/gugarosa/opytimizer,https://github.com/gugarosa/opytimizer,Apache-2.0,2017-11-01 16:04:01,2024-10-22 13:32:17,2024-08-18 17:07:49,821,,42.0,15.0,18.0,,22.0,613,2024-08-18 17:09:46,3.1.4,28.0,Opytimizer is a Python library consisting of meta-heuristic optimization algorithms.,19.0,19.0,4.0,16,True,others,2.0,,,,
47,EvoloPy,7ossam81/EvoloPy,https://github.com/7ossam81/EvoloPy,https://github.com/7ossam81/EvoloPy,Apache-2.0,2016-05-18 11:03:21,2025-02-15 10:26:01,2025-02-15 10:24:46,210,11.0,224.0,24.0,34.0,24.0,22.0,461,,,,EvoloPy toolbox provides classical and recent nature-inspired metaheuristic for the global optimization.,,,12.0,16,True,others,2.0,,,,
48,Craftax,MichaelTMatthews/Craftax,https://github.com/MichaelTMatthews/Craftax,https://github.com/MichaelTMatthews/Craftax,MIT,2024-02-02 10:56:30,2025-02-23 11:01:25,2025-02-23 11:01:25,88,7.0,25.0,4.0,19.0,,17.0,287,2025-01-20 14:13:54,1.4.5,12.0,(Crafter + NetHack) in JAX. ICML 2024 Spotlight.,23.0,23.0,9.0,16,True,others,2.0,,,,
49,pypop,Evolutionary-Intelligence/pypop,https://github.com/Evolutionary-Intelligence/pypop,https://github.com/Evolutionary-Intelligence/pypop,GPL-3.0,2021-01-26 14:55:43,2025-03-06 17:05:01,2025-03-06 17:05:01,7866,109.0,36.0,7.0,452.0,2.0,9.0,227,2024-07-12 08:42:09,0.0.82,3.0,"PyPop7: A Pure-Python Library for POPulation-based Black-Box Optimization (BBO), especially *Large-Scale* variants..",,,15.0,16,True,others,2.0,,,,
50,ngc-learn,NACLab/ngc-learn,https://github.com/NACLab/ngc-learn,https://github.com/NACLab/ngc-learn,BSD-3-Clause,2022-04-19 21:20:05,2025-03-06 01:27:46,2024-12-16 21:42:44,1129,11.0,27.0,6.0,75.0,4.0,8.0,131,2024-06-20 18:51:24,1.2.0-beta,7.0,NGC-Learn: Neurobiological Learning and Biomimetic Systems Simulation in Python.,4.0,4.0,11.0,16,True,others,2.0,,,,
51,NIR,neuromorphs/NIR,https://github.com/neuromorphs/NIR,https://github.com/neuromorphs/NIR,BSD-3-Clause,2023-07-01 20:27:43,2025-03-06 10:04:02,2025-03-06 10:03:59,238,5.0,19.0,13.0,90.0,8.0,30.0,95,2024-04-24 15:30:07,1.0.4,12.0,Neuromorphic Intermediate Representation reference implementation.,74.0,74.0,16.0,16,False,others,2.0,,,,
52,optunahub,optuna/optunahub,https://github.com/optuna/optunahub,https://github.com/optuna/optunahub,MIT,2024-04-18 08:23:00,2025-03-05 05:00:24,2025-03-05 05:00:20,234,36.0,12.0,,82.0,4.0,3.0,40,2025-01-20 06:08:35,0.2.0,4.0,Python library to use packages in OptunaHub.,20.0,20.0,9.0,16,False,others,2.0,,,1.0,
53,NiaAML,firefly-cpp/NiaAML,https://github.com/firefly-cpp/NiaAML,https://github.com/firefly-cpp/NiaAML,MIT,2020-08-21 17:03:06,2025-01-23 08:39:11,2025-01-23 08:32:58,350,4.0,12.0,3.0,65.0,3.0,29.0,33,2025-01-23 08:39:11,2.1.2,34.0,Python automated machine learning framework.,29.0,29.0,10.0,16,False,others,2.0,,,,
54,OpenELM,CarperAI/OpenELM,https://github.com/CarperAI/OpenELM,https://github.com/CarperAI/OpenELM,MIT,2022-09-03 12:53:16,2023-11-15 11:36:05,2023-10-21 16:25:10,124,,85.0,26.0,64.0,6.0,5.0,713,2023-03-08 01:35:37,0.2.1,6.0,Evolution Through Large Models.,15.0,15.0,9.0,15,False,others,2.0,,,,
55,swarmlib,HaaLeo/swarmlib,https://github.com/HaaLeo/swarmlib,https://github.com/HaaLeo/swarmlib,BSD-3-Clause,2018-11-04 16:47:18,2020-12-16 20:47:50,2020-12-16 20:46:22,246,,108.0,10.0,20.0,12.0,13.0,525,2020-12-16 20:49:37,0.14.1,23.0,This repository implements several swarm optimization algorithms and visualizes them. Implemented algorithms: Particle..,23.0,23.0,7.0,15,False,others,2.0,315.0,4.0,,
56,crafter,danijar/crafter,https://github.com/danijar/crafter,https://github.com/danijar/crafter,MIT,2021-03-10 00:37:31,2024-01-23 23:33:05,2023-12-13 20:12:42,161,,67.0,10.0,8.0,8.0,16.0,420,,,,Benchmarking the Spectrum of Agent Capabilities.,210.0,210.0,4.0,15,False,others,2.0,,,,
57,fast-cma-es,dietmarwo/fast-cma-es,https://github.com/dietmarwo/fast-cma-es,https://github.com/dietmarwo/fast-cma-es,MIT,2020-01-14 12:22:14,2025-02-28 10:47:06,2025-02-28 10:46:52,1078,85.0,19.0,3.0,9.0,3.0,15.0,134,,,,A Python 3 gradient-free optimization library.,74.0,74.0,6.0,15,True,others,2.0,,,,
58,propulate,Helmholtz-AI-Energy/propulate,https://github.com/Helmholtz-AI-Energy/propulate,https://github.com/Helmholtz-AI-Energy/propulate,BSD-3-Clause,2022-05-24 08:19:12,2025-03-04 22:53:52,2025-01-07 07:04:33,1034,6.0,7.0,4.0,53.0,55.0,63.0,36,2024-06-08 06:31:25,1.2.2,4.0,Propulate is an asynchronous population-based optimization algorithm and software package for global optimization and..,4.0,4.0,25.0,15,False,others,2.0,,,,
59,CleverAlgorithms,clever-algorithms/CleverAlgorithms,https://github.com/Jason2Brownlee/CleverAlgorithms,https://github.com/Jason2Brownlee/CleverAlgorithms,,2010-01-02 01:57:17,2024-12-20 03:55:29,2024-12-20 03:55:25,1703,21.0,299.0,111.0,14.0,,,2058,,,,Clever Algorithms: Nature-Inspired Programming Recipes.,,,9.0,14,False,others,2.0,,,,Jason2Brownlee/CleverAlgorithms
60,cambrian,cambrian-mllm/cambrian,https://github.com/cambrian-mllm/cambrian,https://github.com/cambrian-mllm/cambrian,Apache-2.0,2024-06-17 07:00:41,2024-10-30 18:59:56,2024-10-30 18:59:53,59,,127.0,23.0,13.0,41.0,34.0,1862,,,,Cambrian-1 is a family of multimodal LLMs with a vision-centric design.,3.0,3.0,4.0,14,True,others,2.0,,,,
61,evotorch,nnaisense/evotorch,https://github.com/nnaisense/evotorch,https://github.com/nnaisense/evotorch,Apache-2.0,2022-08-08 18:03:06,2025-03-03 19:30:26,2024-11-05 19:42:30,76,,67.0,16.0,73.0,12.0,34.0,1043,2023-11-02 11:09:00,0.5.1,8.0,"Advanced evolutionary computation library built directly on top of PyTorch, created at NNAISENSE.",,,6.0,14,True,others,2.0,,,,
62,evojax,google/evojax,https://github.com/google/evojax,https://github.com/google/evojax,Apache-2.0,2021-12-07 00:30:07,2024-06-27 07:32:19,2024-06-27 07:26:43,298,,99.0,25.0,51.0,14.0,17.0,883,,,19.0,,27.0,27.0,14.0,14,False,others,2.0,,,,
63,pygmo2,esa/pygmo2,https://github.com/esa/pygmo2,https://github.com/esa/pygmo2,MPL-2.0,2020-01-07 09:22:45,2024-08-10 11:03:52,2024-08-10 11:03:52,607,,58.0,12.0,63.0,41.0,58.0,466,2024-08-09 18:53:13,2.19.7,14.0,A Python platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous..,,,10.0,14,True,others,2.0,,,,
64,cmaes,CyberAgentAILab/cmaes,https://github.com/CyberAgentAILab/cmaes,https://github.com/CyberAgentAILab/cmaes,MIT,2020-01-30 20:13:13,2024-11-12 02:52:30,2024-11-12 02:52:29,487,,67.0,14.0,155.0,8.0,31.0,408,2024-08-13 07:03:53,0.11.1,19.0,Python library for CMA Evolution Strategy.,,,9.0,14,True,others,2.0,375.0,6.0,,
65,xland-minigrid,corl-team/xland-minigrid,https://github.com/dunnolab/xland-minigrid,https://github.com/dunnolab/xland-minigrid,Apache-2.0,2023-12-01 17:14:25,2024-11-16 08:37:31,2024-11-16 08:37:31,64,,19.0,11.0,23.0,5.0,12.0,266,2024-10-11 05:28:54,0.9.1,6.0,JAX-accelerated Meta-Reinforcement Learning Environments Inspired by XLand and MiniGrid.,12.0,12.0,7.0,14,True,others,2.0,,,,dunnolab/xland-minigrid
